"tract","Name","%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall"
24510150100,"Sandtown-Winchester, Baltimore, MD",0.9448
24510200200,"Lexington, Baltimore, MD",0.9279
24510180100,"Poppleton, Baltimore, MD",0.9274
24510120400,"Barclay, Baltimore, MD",0.925
24510150300,"Coppin Heights, Baltimore, MD",0.921
24510180200,"Poppleton, Baltimore, MD",0.9207
24510160200,"Sandtown-Winchester, Baltimore, MD",0.9204
24510080200,"Broadway East, Baltimore, MD",0.9185
24510140200,"Upton, Baltimore, MD",0.9146
24510200100,"Lexington, Baltimore, MD",0.9143
24510170100,"Downtown, Baltimore, MD",0.9132
24510130300,"Penn North, Baltimore, MD",0.9112
24510070200,"Madison - Eastend, Baltimore, MD",0.9109
24510080500,"Darley Park, Baltimore, MD",0.9083
24510160600,"Mosher, Baltimore, MD",0.9073
24510250204,"Cherry Hill, Baltimore, MD",0.9062
24510150200,"Sandtown-Winchester, Baltimore, MD",0.9045
24510150400,"Mondawmin, Baltimore, MD",0.9042
24510280500,"Pleasant View Gardens, Baltimore, MD",0.904
24510070100,"Baltimore, MD",0.9035
24510190100,"Franklin Square, Baltimore, MD",0.9034
24510100100,"Johnson Square, Baltimore, MD",0.9031
24510120500,"Greenmount West, Baltimore, MD",0.9016
24510030100,"Perkins Homes, Baltimore, MD",0.9001
24510100200,"Baltimore, MD",0.8997
24510160300,"Sandtown-Winchester, Baltimore, MD",0.8993
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.8974
24510150600,"NW Community Action, Baltimore, MD",0.8972
24510250301,"Westport, Baltimore, MD",0.8969
24510080102,"Belair - Edison, Baltimore, MD",0.8967
24510090900,"Oliver, Baltimore, MD",0.8965
24510090800,"East Baltimore Midway, Baltimore, MD",0.8959
24510070300,"Milton - Montford, Baltimore, MD",0.8955
24510080302,"Berea, Baltimore, MD",0.8952
24510080700,"Broadway East, Baltimore, MD",0.8949
24510080400,"Broadway East, Baltimore, MD",0.8941
24510210100,"Pigtown, Baltimore, MD",0.8935
24510200702,"Saint Joseph's, Baltimore, MD",0.8919
24510200701,"Allendale, Baltimore, MD",0.8917
24510060100,"Patterson Park, Baltimore, MD",0.8915
24510070400,"Gay Street, Baltimore, MD",0.8912
24510130200,"Reservoir Hill, Baltimore, MD",0.8898
24510130400,"Woodbrook, Baltimore, MD",0.8897
24510151300,"Central Park Heights, Baltimore, MD",0.889
24510170200,"McCulloh Homes, Baltimore, MD",0.8882
24510200400,"Shipley Hill, Baltimore, MD",0.8872
24510151200,"Park Circle, Baltimore, MD",0.8866
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.8856
