tract,Name,%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall,Individual Income,,,,
24510150100,"Sandtown-Winchester, Baltimore, MD",0.9448,16983,,,, Baltimore
24510200200,"Lexington, Baltimore, MD",0.9279,18492,,,, Baltimore
24510180100,"Poppleton, Baltimore, MD",0.9274,14365,,,, Baltimore
24510120400,"Barclay, Baltimore, MD",0.925,21031,,,, Baltimore
24510150300,"Coppin Heights, Baltimore, MD",0.921,19755,,,, Baltimore
24510180200,"Poppleton, Baltimore, MD",0.9207,22255,,,, Baltimore
24510160200,"Sandtown-Winchester, Baltimore, MD",0.9204,19207,,,, Baltimore
24510080200,"Broadway East, Baltimore, MD",0.9185,18131,,,, Baltimore
24510140200,"Upton, Baltimore, MD",0.9146,18504,,,, Baltimore
24510200100,"Lexington, Baltimore, MD",0.9143,22333,,,, Baltimore
24510170100,"Downtown, Baltimore, MD",0.9132,23163,,,, Baltimore
24510130300,"Penn North, Baltimore, MD",0.9112,19321,,,, Baltimore
24510070200,"Madison - Eastend, Baltimore, MD",0.9109,18511,,,, Baltimore
24510080500,"Darley Park, Baltimore, MD",0.9083,20931,,,, Baltimore
24510160600,"Mosher, Baltimore, MD",0.9073,21565,,,, Baltimore
24510250204,"Cherry Hill, Baltimore, MD",0.9062,16789,,,, Baltimore
24510150200,"Sandtown-Winchester, Baltimore, MD",0.9045,19198,,,, Baltimore
24510150400,"Mondawmin, Baltimore, MD",0.9042,18821,,,, Baltimore
24510280500,"Pleasant View Gardens, Baltimore, MD",0.904,17719,,,, Baltimore
24510070100,"Baltimore, MD",0.9035,,,,,#VALUE!
24510190100,"Franklin Square, Baltimore, MD",0.9034,16972,,,, Baltimore
24510100100,"Johnson Square, Baltimore, MD",0.9031,17684,,,, Baltimore
24510120500,"Greenmount West, Baltimore, MD",0.9016,18824,,,, Baltimore
24510030100,"Perkins Homes, Baltimore, MD",0.9001,18742,,,, Baltimore
24510100200,"Baltimore, MD",0.8997,,,,,#VALUE!
24510160300,"Sandtown-Winchester, Baltimore, MD",0.8993,18970,,,, Baltimore
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.8974,21237,,,, Baltimore
24510150600,"NW Community Action, Baltimore, MD",0.8972,18863,,,, Baltimore
24510250301,"Westport, Baltimore, MD",0.8969,17370,,,, Baltimore
24510080102,"Belair - Edison, Baltimore, MD",0.8967,21515,,,, Baltimore
24510090900,"Oliver, Baltimore, MD",0.8965,18262,,,, Baltimore
