"tract","Name","%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall"
42101003902,"South Philadelphia, Philadelphia, PA",0.9217
42101037600,"North Philadelphia, Philadelphia, PA",0.9128
42101004202,"South Philadelphia, Philadelphia, PA",0.9116
42101037700,"North Philadelphia, Philadelphia, PA",0.9111
34007605200,"Gloucester City, NJ",0.9095
42101015200,"Cecil B. Moore, Philadelphia, PA",0.9077
42101031700,"Mayfair, Philadelphia, PA",0.9031
42101003300,"South Philadelphia, Philadelphia, PA",0.8996
42101010800,"Mantua, Philadelphia, PA",0.8994
42101018300,"Bridesburg, Philadelphia, PA",0.8981
42101015700,"Norris Square, Philadelphia, PA",0.8967
42101014700,"Cecil B. Moore, Philadelphia, PA",0.8963
42101015102,"North Philadelphia, Philadelphia, PA",0.896
42101004002,"Lower Moyamensing, Philadelphia, PA",0.8943
42101027901,"North Philadelphia, Philadelphia, PA",0.8942
42101004201,"South Philadelphia, Philadelphia, PA",0.893
42101010200,"Haddington, Philadelphia, PA",0.8927
42101013100,"North Philadelphia, Philadelphia, PA",0.8923
42101016600,"North Philadelphia, Philadelphia, PA",0.8912
42101035200,"Northeast Philadelphia, Philadelphia, PA",0.8912
42101015300,"North Philadelphia, Philadelphia, PA",0.89
42101003901,"South Philadelphia, Philadelphia, PA",0.8898
42101002702,"Pennsport, Philadelphia, PA",0.8894
42101037900,"North Philadelphia, Philadelphia, PA",0.8892
42101014100,"Ludlow, Philadelphia, PA",0.8891
42101007101,"Southwest Philadelphia, Philadelphia, PA",0.8883
42101003701,"South Philadelphia, Philadelphia, PA",0.8877
42101032600,"Northeast Philadelphia, Philadelphia, PA",0.8877
42101014900,"North Philadelphia, Philadelphia, PA",0.8868
42101028000,"Olney-Oak Lane, Philadelphia, PA",0.8865
42101033000,"Holmesburg, Philadelphia, PA",0.8859
42101021200,"Northwest Philadelphia, Philadelphia, PA",0.8858
34007601700,"Centerville, Camden, NJ",0.8837
42101003800,"Girard Estates, Philadelphia, PA",0.8834
42101021600,"Northwest Philadelphia, Philadelphia, PA",0.8833
42101004101,"South Philadelphia, Philadelphia, PA",0.8832
42101038200,"Harrowgate, Philadelphia, PA",0.882
42101010700,"Belmont, Philadelphia, PA",0.8814
42101014800,"Cecil B. Moore, Philadelphia, PA",0.8814
